title,description,country,type,nodays,price,imgname
Highlights of Thailand,Alcazar Show Coral Island Scientific Thai Massage Safari World Wat – Pho,Thailand,GROUP TOUR,4,"?50,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/astl/asja-thb.jpg
Senior's Special Nepal,Manakamana Devi Temple Folk dance of Nepal Chitwan National Park Boat ride in Phewa Lake Vindyabasini Temple International Mountaineering Museum Bhaktapur Darbar Square Pashupatinath Temple Budhanilkantha Swayambhunath Stupa Kathmandu Darbar Square,Nepal,GROUP TOUR,8,"?70,000.00",https://img.veenaworld.com/group-tours/world/nepal/npzp/npwa-i-thb-npzp-832022.jpg
Best of Nepal,NA,Nepal,GROUP TOUR,8,"?70,000.00",https://img.veenaworld.com/group-tours/world/nepal/npcp/npwa-ip-thb-NPCP-132022.jpg
Women's Special Nepal,Manakamana Devi Temple Folk dance of Nepal Chitwan National Park Boat ride in Phewa Lake Vindyabasini Temple International Mountaineering Museum Bhaktapur Darbar Square Pashupatinath Temple Budhanilkantha Swayambhunath Stupa Kathmandu Darbar Square,Nepal,GROUP TOUR,8,"?72,000.00",https://img.veenaworld.com/group-tours/world/nepal/npwp/npza-ip-thb-npwp-832022.jpg
Honeymoon Special Thailand,Pattaya Tower Speed Shuttle/ Sky Shuttle/ Tower Jump Coral Island Nong Nooch village Alcazar Show Gems Gallery Frost Magical Ice Siam Art in Paradise Scientific Thai massage Safari World Chao Phraya River Dinner Cruise,Thailand,GROUP TOUR,6,"?75,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asha/asha-thb.jpg
Best of Thailand,NA,Thailand,GROUP TOUR,6,"?75,000.00",https://img.veenaworld.com/group-tours/world/astj/astj-thb-1.jpg
Women's Special Thailand,Pattaya Tower Speed Shuttle/ Sky Shuttle/ Tower Jump Coral Island Nong Nooch village Alcazar Show Gems Gallery Frost Magical Ice Siam Art in Paradise Scientific Thai massage Safari World Chao Phraya River Dinner Cruise,Thailand,GROUP TOUR,6,"?77,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswa/aswa-thb.jpg
Seniors' Special Thailand,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Thailand,GROUP TOUR,6,"?79,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asza/asza-thb.jpg
Best of Bhutan,NA,Bhutan,GROUP TOUR,9,"?81,000.00",https://img.veenaworld.com/group-tours/world/bhutan/btjs/shbt3-thb-BTJS-2792022.jpg
Women's Special Bhutan,Paro Dzong Ta-Dzong - National Museum Taktshang Monastery - Tiger’s Nest Monastery Chele-la-Pass Dochula Pass Phobjikha Valley White water rafting in the Punakha river Punakha Dzong Royal Takin Preserve Kharbandi Gompa,Bhutan,GROUP TOUR,9,"?82,000.00",https://img.veenaworld.com/group-tours/world/bhutan/btwb/thb-BTWB-22112022.jpg
Seniors' Special Bhutan,Paro Dzong Ta-Dzong - National Museum Taktshang Monastery - Tiger’s Nest Monastery Chele-la-Pass Dochula Pass Phobjikha Valley White water rafting in the Punakha river Punakha Dzong Royal Takin Preserve Kharbandi Gompa,Bhutan,GROUP TOUR,9,"?85,000.00",https://img.veenaworld.com/group-tours/world/bhutan/btzb/btwa-i-thb-btzb-312024.jpg
Best of Bhutan - Pune,NA,Bhutan,GROUP TOUR,9,"?85,000.00",https://img.veenaworld.com/group-tours/world/bhutan/btjsp/btjsp-thb-btjsp-282023.jpg
