date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:12	209/209	---M--	200	added ('OK')	text/plain	date:Thu,%2007%20Nov%202024%2014:00:12%20GMT	https://www.veenaworld.com/robots.txt		(from )
19:30:12	1591297/1591297	---MCZ	200	added ('OK')	text/html	etag:W/%22184801-u4ub2VaJoeEiaEnXtIg/qjcFy5E%22	https://www.veenaworld.com/world	veenaworld_site/www.veenaworld.com/world.html	(from )
19:30:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:13%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-57x57.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-57x57.1.delayed	(from https://www.veenaworld.com/world)
19:30:14	848/848	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-77a%22	https://www.veenaworld.com/assets/icons/apple-icon-57x57.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-57x57.jpg	(from https://www.veenaworld.com/world)
19:30:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:14%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-60x60.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-60x60.png	(from https://www.veenaworld.com/world)
19:30:14	5554/5554	---M-Z	200	added ('OK')	text/html	etag:W/%225f368e2d-366%22	https://img.veenaworld.com/	veenaworld_site/img.veenaworld.com/index.html	(from https://www.veenaworld.com/world)
19:30:14	994/994	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-72e%22	https://www.veenaworld.com/assets/icons/apple-icon-60x60.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-60x60.jpg	(from https://www.veenaworld.com/world)
19:30:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:15%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-72x72.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-72x72.png	(from https://www.veenaworld.com/world)
19:30:15	1105/1105	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-90f%22	https://www.veenaworld.com/assets/icons/apple-icon-72x72.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-72x72.jpg	(from https://www.veenaworld.com/world)
19:30:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:15%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-76x76.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-76x76.png	(from https://www.veenaworld.com/world)
19:30:15	926/926	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-9f3%22	https://www.veenaworld.com/assets/icons/apple-icon-76x76.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-76x76.jpg	(from https://www.veenaworld.com/world)
19:30:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:16%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-114x114.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-114x114.png	(from https://www.veenaworld.com/world)
19:30:16	1217/1217	---M--	200	added ('OK')	image/jpeg	etag:%226552b7ac-edd%22	https://www.veenaworld.com/assets/icons/apple-icon-114x114.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-114x114.jpg	(from https://www.veenaworld.com/world)
19:30:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:16%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-120x120.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-120x120.png	(from https://www.veenaworld.com/world)
19:30:17	1663/1663	---M--	200	added ('OK')	image/jpeg	etag:%226552b7ac-ebe%22	https://www.veenaworld.com/assets/icons/apple-icon-120x120.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-120x120.jpg	(from https://www.veenaworld.com/world)
19:30:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:17%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-144x144.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-144x144.png	(from https://www.veenaworld.com/world)
19:30:18	2021/2021	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-fc1%22	https://www.veenaworld.com/assets/icons/apple-icon-144x144.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-144x144.jpg	(from https://www.veenaworld.com/world)
19:30:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:19%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-152x152.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-152x152.png	(from https://www.veenaworld.com/world)
19:30:20	1508/1508	---M--	200	added ('OK')	image/jpeg	etag:%22655ac016-147c%22	https://www.veenaworld.com/assets/icons/apple-icon-152x152.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-152x152.jpg	(from https://www.veenaworld.com/world)
19:30:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:21%20GMT	http://www.veenaworld.com/assets/icons/apple-icon-180x180.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-180x180.png	(from https://www.veenaworld.com/world)
19:30:23	2147/2147	---M--	200	added ('OK')	image/jpeg	etag:%226563dfc0-15a5%22	https://www.veenaworld.com/assets/icons/apple-icon-180x180.png	veenaworld_site/www.veenaworld.com/assets/icons/apple-icon-180x180.jpg	(from https://www.veenaworld.com/world)
19:30:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:23%20GMT	http://www.veenaworld.com/favicon.ico	veenaworld_site/www.veenaworld.com/favicon.ico	(from https://www.veenaworld.com/world)
19:30:24	16958/16958	---M-Z	200	added ('OK')	image/x-icon	etag:W/%22653ee10e-423e%22	https://www.veenaworld.com/favicon.ico	veenaworld_site/www.veenaworld.com/favicon.ico	(from https://www.veenaworld.com/world)
19:30:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:24%20GMT	http://www.veenaworld.com/gtm.js	veenaworld_site/www.veenaworld.com/gtm.js	(from https://www.veenaworld.com/world)
19:30:25	296/296	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266b3319a-128%22	https://www.veenaworld.com/gtm.js	veenaworld_site/www.veenaworld.com/gtm.js	(from https://www.veenaworld.com/world)
19:30:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:26%20GMT	http://www.veenaworld.com/fb-pixel.js	veenaworld_site/www.veenaworld.com/fb-pixel.js	(from https://www.veenaworld.com/world)
19:30:26	421/421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266b5e97c-1a5%22	https://www.veenaworld.com/fb-pixel.js	veenaworld_site/www.veenaworld.com/fb-pixel.js	(from https://www.veenaworld.com/world)
19:30:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:26%20GMT	http://www.veenaworld.com/webengage.js	veenaworld_site/www.veenaworld.com/webengage.js	(from https://www.veenaworld.com/world)
19:30:26	1002/1002	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ff33a4-3ea%22	https://www.veenaworld.com/webengage.js	veenaworld_site/www.veenaworld.com/webengage.js	(from https://www.veenaworld.com/world)
19:30:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:27%20GMT	http://www.veenaworld.com/manifest.webmanifest	veenaworld_site/www.veenaworld.com/manifest.webmanifest	(from https://www.veenaworld.com/world)
19:30:27	1771/1771	---M--	200	added ('OK')	application/octet-stream	etag:%22672c5142-6eb%22	https://www.veenaworld.com/manifest.webmanifest	veenaworld_site/www.veenaworld.com/manifest.webmanifest	(from https://www.veenaworld.com/world)
19:30:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:27%20GMT	http://www.veenaworld.com/styles.588420e563f70e5e.css	veenaworld_site/www.veenaworld.com/styles.588420e563f70e5e.css	(from https://www.veenaworld.com/world)
19:30:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:28%20GMT	http://www.veenaworld.com/icomoon.62fb8e64279a8fca.woff	veenaworld_site/www.veenaworld.com/icomoon.62fb8e64279a8fca.woff	(from https://www.veenaworld.com/world)
19:30:30	1422779/1422779	---M-Z	200	added ('OK')	text/css	etag:W/%2267217664-15b5bb%22	https://www.veenaworld.com/styles.588420e563f70e5e.css	veenaworld_site/www.veenaworld.com/styles.588420e563f70e5e.css	(from https://www.veenaworld.com/world)
19:30:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Nov%202024%2014:00:31%20GMT	http://www.veenaworld.com/icomoon.17d8b0d5067db11e.ttf	veenaworld_site/www.veenaworld.com/icomoon.17d8b0d5067db11e.ttf	(from https://www.veenaworld.com/world)
19:30:32	88588/88588	---M--	200	added ('OK')	font/woff	etag:%2265571c90-15a0c%22	https://www.veenaworld.com/icomoon.62fb8e64279a8fca.woff	veenaworld_site/www.veenaworld.com/icomoon.62fb8e64279a8fca.woff	(from https://www.veenaworld.com/world)
